chemical	aliases	names	flagged_for_removal
5312137	DB08039 (DrugBank)	Su 6656	0
23925	D00614 (KEGG) >> DB01592 (DrugBank 845)	Fe(III	1
447077	DB02567 (DrugBank)	PD173955	0
119400	D00103 (KEGG)	tartrate	0
564	DB00513 (DrugBank 845) >> DB04134 (DrugBank 845)	EACA	1
439554	DB04473 (DrugBank)	alpha-L-fucose	0
176870	DB00530 (DrugBank 845)	erlotinib	0
5289419	DB03428 (DrugBank)	SU9516	0
6140	DB00120 (DrugBank 845)	phenylalanine	1
11314340	DB08568 (DrugBank)	A-674563	0
30819	DB01962 (DrugBank)	anti-phosphotyrosine	0
11626560	D09731 (KEGG) >> DB08700 (DrugBank)	crizotinib	0
9934347	DB07460 (DrugBank)	NVP-TAE226	0
439691	DB04454 (DrugBank)	D-alpha-aminobutyric acid	1
5287969	D02880 (KEGG) >> D09868 (KEGG) >> DB03496 (DrugBank 845)	flavopiridol	0
22497	D02334 (KEGG) >> DB04053 (DrugBank)	phosphinate	1
216239	D06272 (KEGG) >> DB00398 (DrugBank 845) >> DB07438 (DrugBank 845)	sorafenib	0
12374	DB02210 (DrugBank)	1,6-hexanediol	0
81462	DB02748 (DrugBank)	Bis-Tris	0
448009	DB04237 (DrugBank)	tris(hydroxyethyl)aminomethane	0
23939	D01416 (KEGG) >> DB00958 (DrugBank 845)	platinum	0
65482	D05846 (KEGG)	sinefungin	0
175	D00010 (KEGG) >> DB03166 (DrugBank) >> DB04184 (DrugBank)	acetate	1
444718	DB02494 (DrugBank)	L-3-phenyllactic acid	0
171548	D00029 (KEGG) >> D07586 (KEGG) >> DB00121 (DrugBank)	anti-biotin	1
5280343	DB04216 (DrugBank 845)	quercetin	0
546	D04254 (KEGG) >> DB02823 (DrugBank)	phosphonoacetic acid (PAA	1
451597	DB04602 (DrugBank)	PANS 5'-monophosphate	0
9543443	D05905 (KEGG) >> DB04222 (DrugBank)	D05905	0
8378	D07994 (KEGG) >> DB00452 (DrugBank 845) >> DB00994 (DrugBank 845)	neomycin	1
46207586	D10423 (KEGG)	Ilorasertib	0
5988	D00025 (KEGG)	sucrose	1
10113978	D05380 (KEGG) >> DB06589 (DrugBank)	pazopanib	0
66898	DB03309 (DrugBank)	ChEs	0
5287844	DB03444 (DrugBank)	6-bromoindirubin-3-oxime	0
441401	DB00601 (DrugBank 845) >> DB08769 (DrugBank 845)	linezolid	1
5326739	DB02052 (DrugBank)	indirubin-3'-oxime	0
222	D02916 (KEGG)	ammonia	0
11524144	DB08597 (DrugBank)	compound C	0
24905142	DB08052 (DrugBank)	pp121	0
31275	DB03316 (DrugBank)	dioxane	1
11485656	D09635 (KEGG)	linifanib	0
5950	DB00160 (DrugBank 845) >> DB01786 (DrugBank 845)	alanine	1
36314	DB01229 (DrugBank 845)	paclitaxel	0
439750	DB04464 (DrugBank)	N-formylmethionine	1
62852	DB03122 (DrugBank)	n-octyl-beta-D-glucopyranoside	0
148123	D02165 (KEGG) >> DB01248 (DrugBank 845)	docetaxel	1
123631	DB00317 (DrugBank 845) >> DB07998 (DrugBank 845)	gefitinib	0
444863	DB03283 (DrugBank)	beta-L-fucopyranoside	0
643976	D01622 (KEGG) >> D05725 (KEGG)	flavin mononucleotide	0
66370	D02325 (KEGG)	beta-D-glucopyranoside	0
79718	DB03394 (DrugBank)	heptaethylene glycol	0
6274	D00032 (KEGG) >> D02072 (KEGG) >> DB00117 (DrugBank)	histidine	1
5005498	DB04014 (DrugBank)	alsterpaullone	0
9915743	D08950 (KEGG)	neratinib	0
6419766	DB08454 (DrugBank)	GSK3 inhibitor XIII	0
750	DB00145 (DrugBank 845)	glycine	1
9933475	D08883 (KEGG) >> DB04849 (DrugBank)	cediranib	0
9926791	D09783 (KEGG) >> D09970 (KEGG)	tofacitinib	0
4867	DB03538 (DrugBank)	nonaethyleneglycol	0
5330286	D10372 (KEGG)	palbociclib	0
60961	DB00640 (DrugBank 845)	adenosine	1
145742	DB00172 (DrugBank 845) >> DB02853 (DrugBank 845)	3H-proline	1
2396	DB03777 (DrugBank)	bisindolylmaleimide I	0
123991	DB02688 (DrugBank)	dehydroalanine	1
447961	DB02833 (DrugBank)	Cdk2/9 Inhibitor	0
2332	DB03127 (DrugBank)	benzamidine	1
445643	D00107 (KEGG) >> DB00864 (DrugBank 845)	tacrolimus	1
643975	D00005 (KEGG) >> D02011 (KEGG) >> DB03147 (DrugBank)	flavin adenine dinucleotide	1
10389238	DB08358 (DrugBank)	MK2 inhibitor III	0
24889392	D09955 (KEGG) >> D09956 (KEGG)	quizartinib	0
644241	D06413 (KEGG) >> D08953 (KEGG)	nilotinib	0
6450551	D03218 (KEGG)	axitinib	0
6228	DB01844 (DrugBank)	dimethylformamide	1
6445562	D05399 (KEGG)	pelitinib	0
3081361	DB05294 (DrugBank) >> DB08764 (DrugBank 845)	vandetanib	0
124886	D00014 (KEGG) >> D08025 (KEGG) >> DB00143 (DrugBank)	reduced glutathione	1
5892	D00002 (KEGG)	diphosphopyridine nucleotide	0
5281672	DB02375 (DrugBank)	myricetin	0
6449989	DB03720 (DrugBank)	dehydrobutyrine	1
5289243	DB02566 (DrugBank)	DB02566	0
5326843	DB07364 (DrugBank)	aloisine A	0
1003	D05467 (KEGG) >> DB02831 (DrugBank)	phosphate	1
5687	DB03365 (DrugBank)	WHI-P180	0
15942673	DB08198 (DrugBank)	(R)-MON-97	0
6857690	DB07064 (DrugBank)	AC1OAH2A	0
794323	DB04331 (DrugBank)	(4S)-Monastrol	0
6102824	DB08244 (DrugBank)	AC1O0V3M	0
11675645	DB08239 (DrugBank)	DB08239	0
1190625	DB08032 (DrugBank)	DB08032	0
5281855	DB08468 (DrugBank) >> DB08846 (DrugBank)	ellagic acid	0
16122638	DB08033 (DrugBank)	DB08033	0
11655511	DB08037 (DrugBank)	ALR-3456	0
6287	D00039 (KEGG) >> DB00161 (DrugBank)	L-valine	1
5288685	DB03996 (DrugBank)	DB03996	0
6450816	D04640 (KEGG)	ispinesib	0
23586165	DB08250 (DrugBank)	DB08250	0
11840968	DB08246 (DrugBank)	dihydropyrrole, 6	0
448043	DB07876 (DrugBank)	Dimethylfasudil	0
6305	DB00150 (DrugBank 845) >> DB03225 (DrugBank 845)	tryptophan	1
97328	DB03320 (DrugBank)	L-Dap	1
5291	D01441 (KEGG) >> DB00619 (DrugBank 845) >> DB03261 (DrugBank 845)	imatinib	0
17754396	DB06932 (DrugBank)	Kinome_3774	0
446696	DB02883 (DrugBank)	ddCMP	0
5280443	DB07352 (DrugBank)	apigenin	0
448580	DB01646 (DrugBank)	N-acetylmethionine	0
3000226	D00213 (KEGG) >> D08003 (KEGG) >> DB02703 (DrugBank 845)	fusidic acid	1
2856	DB08325 (DrugBank)	compound 52	0
456214	DB04751 (DrugBank)	purvalanol A	0
190	DB00173 (DrugBank 845)	adenine	1
92824	DB03499 (DrugBank)	D-malate	1
4566	DB07126 (DrugBank)	6-cyclohexylmethoxy-2-(4'-sulfamoylanilino)purine	0
125132	DB02676 (DrugBank)	Bis-Tris propane	0
657096	DB03556 (DrugBank)	AC1LCW0P	0
7302	DB04699 (DrugBank)	butyrolactone	1
11234052	D09589 (KEGG)	brivanib	0
983	DB03896 (DrugBank)	polyphosphate	1
242	D00038 (KEGG) >> D02277 (KEGG) >> D05576 (KEGG) >> DB03793 (DrugBank)	benzoic acid	1
3547	D01840 (KEGG) >> D03115 (KEGG) >> D07941 (KEGG) >> DB08162 (DrugBank)	fasudil	0
447873	DB02388 (DrugBank)	AC1L9LC4	0
156422	DB03044 (DrugBank 845)	BIRB796	0
5951	D00016 (KEGG) >> DB00133 (DrugBank) >> DB03375 (DrugBank)	D-serine	1
443118	DB07558 (DrugBank)	ALLN	0
6386	DB03900 (DrugBank)	tert-butanol	1
165151	DB03150 (DrugBank)	ddTMP	0
46937130	DB08185 (DrugBank)	DB08185	0
4212	D02166 (KEGG) >> DB01204 (DrugBank 845)	mitoxantrone	1
165579	D00868 (KEGG) >> DB01421 (DrugBank 845)	paromomycin	1
15541	D00869 (KEGG) >> DB00919 (DrugBank 845)	spectinomycin	1
19648	D01350 (KEGG) >> DB01082 (DrugBank 845)	streptomycin	1
16757525	DB07149 (DrugBank)	DB07149	0
5287600	DB04313 (DrugBank) >> DB04538 (DrugBank)	3-methylaspartic acid	1
1400	DB01809 (DrugBank)	EI 275	0
14205264	DB06905 (DrugBank)	DB06905	0
24894167	DB07676 (DrugBank)	DB07676	0
24180719	DB06999 (DrugBank)	PLX-4720	0
24821094	D10223 (KEGG)	ibrutinib	0
6057	DB00135 (DrugBank 845) >> DB03839 (DrugBank 845)	tyrosine	1
24865390	DB08699 (DrugBank)	DB08699	0
24995523	DB07361 (DrugBank 845)	SNS-314 mesylate	0
16043304	DB07235 (DrugBank)	DB07235	0
24851688	DB07242 (DrugBank)	DB07242	0
165331	DB02761 (DrugBank)	thiocysteine	1
152441	DB01857 (DrugBank) >> DB03713 (DrugBank) >> DB04247 (DrugBank)	aspartyl phosphate	1
813	D08403 (KEGG)	potassium	1
712421	DB02884 (DrugBank)	3-cyclohexylalanine	0
3520	DB00536 (DrugBank)	guanidinium	1
10296883	D09671 (KEGG) >> D09718 (KEGG)	sotrastaurin	0
985	D05341 (KEGG) >> DB03796 (DrugBank)	palmitate	1
8064	DB01955 (DrugBank)	1,4-butanediol	1
5289247	DB04769 (DrugBank)	PI3Kgamma inhibitor	0
70815	DB02219 (DrugBank)	N-cyclohexyl-3-aminopropanesulfonic acid	0
134856	DB03920 (DrugBank)	N-methyldehydroalanine	1
449005	DB03429 (DrugBank)	cardiolipin	0
446073	DB03050 (DrugBank)	geran-8-yl geran	0
446094	DB01692 (DrugBank) >> DB02184 (DrugBank) >> DB04447 (DrugBank)	1,4-dithiothreitol	1
8189	DB02078 (DrugBank)	triglyme	0
445639	D02315 (KEGG)	oleic acid	1
444894	DB06843 (DrugBank)	2',5'-dideoxy-3'-AMP	0
78798	DB04535 (DrugBank)	octaethylene glycol	0
47936	D03584 (KEGG) >> DB02587 (DrugBank)	forskolin	0
25174101	DB06882 (DrugBank)	pyrazolourea, 1b	0
24963046	DB08351 (DrugBank)	DB08351	0
196	D08839 (KEGG)	adipate	0
6167	DB08117 (DrugBank 845)	colchicine	0
447700	DB08339 (DrugBank)	NSC735424	0
16197727	D10511 (KEGG) >> DB04931 (DrugBank)	NDP-MSH	0
10915062	DB06883 (DrugBank)	DB06883	0
3038525	DB07138 (DrugBank 845)	Vx-745	0
23647652	DB07533 (DrugBank)	DB07533	0
92249	DB08168 (DrugBank)	7-amino-4-methylcoumarin	0
5729339	DB07534 (DrugBank)	AC1NWH6M	0
23644582	DB07832 (DrugBank)	DB07832	0
5288641	DB02519 (DrugBank)	indirubin-5-sulphonate	0
11574606	DB07688 (DrugBank)	DB07688	0
24812718	DB07537 (DrugBank)	DB07537	0
24871491	DB08513 (DrugBank)	DB08513	0
23647657	DB07538 (DrugBank)	DB07538	0
15991573	DB06925 (DrugBank)	2-aminoquinazoline 5	0
4473	D00617 (KEGG) >> DB00622 (DrugBank 845)	nicardipine	1
5287855	DB07503 (DrugBank)	PI3Kgamma inhibitor II	0
445154	DB02709 (DrugBank 845)	resveratrol	0
24905152	DB08054 (DrugBank)	DB08054	0
3715	D02110 (KEGG) >> DB00328 (DrugBank 845)	indomethacin	0
312145	DB08059 (DrugBank)	wortmannin	0
24905143	DB07335 (DrugBank)	DB07335	0
1051	D00006 (KEGG) >> D03281 (KEGG) >> DB00114 (DrugBank 845)	pyridoxal phosphate	0
17751819	DB08150 (DrugBank)	CCT128930	0
24905153	DB08053 (DrugBank)	DB08053	0
444972	DB01677 (DrugBank) >> DB04299 (DrugBank 845)	fumarate	1
1135	DB03462 (DrugBank)	thymine	1
3035817	DB02152 (DrugBank)	K-252a	0
5288145	DB04276 (DrugBank)	DB04276	0
6137	D00019 (KEGG) >> DB00134 (DrugBank)	methionine	1
3893	DB03017 (DrugBank)	lauric acid	0
9829523	D05029 (KEGG)	midostaurin	0
448042	DB08756 (DrugBank)	Y-27632 dihydrochloride	0
24905144	DB08300 (DrugBank)	DB08300	0
5281828	D04864 (KEGG)	maytansine	0
24771867	D10085 (KEGG) >> D10086 (KEGG)	alisertib	0
444108	DB07752 (DrugBank)	farnesyl	0
7870	D04439 (KEGG)	2-methyl-2,4-pentanediol	0
16046126	DB06888 (DrugBank)	DB06888	0
10607	D05529 (KEGG) >> DB01179 (DrugBank) >> DB08417 (DrugBank)	podophyllotoxin	1
6852167	DB06836 (DrugBank)	Pik-93	0
23647659	DB07540 (DrugBank)	DB07540	0
9952008	DB08441 (DrugBank)	DB08441	0
15433	DB04147 (DrugBank)	LDAO	0
5288266	DB02767 (DrugBank)	3-hydroxymyristic acid	0
24894130	DB07266 (DrugBank)	AKI-001	0
5311176	DB06841 (DrugBank)	Phe-Pro-Arg-chloromethylketone	0
24762195	DB08148 (DrugBank)	DB08148	0
11696113	DB08149 (DrugBank)	DB08149	0
7020127	DB08371 (DrugBank)	p-benzoyl-L-phenylalanine	0
673	DB02083 (DrugBank)	dimethylglycine	1
222528	DB07690 (DrugBank)	sodium deoxycholate	0
1031	DB03175 (DrugBank)	hydroxypropyl	1
65059	DB04457 (DrugBank)	dGMP	0
5280863	DB01852 (DrugBank)	kaempferol	0
11987888	DB08590 (DrugBank)	Kinome_2782	0
15906	DB02486 (DrugBank)	hydroxyethyl disulfide	1
439153	DB00157 (DrugBank 845)	reduced nicotinamide adenine dinucleotide	0
2726	D00789 (KEGG) >> DB00477 (DrugBank 845)	chlorpromazine	0
4858	DB08348 (DrugBank)	PJ34 hydrochloride hydrate	0
4122	D05197 (KEGG) >> DB08313 (DrugBank)	nocodazole	0
5978	D02197 (KEGG) >> DB00541 (DrugBank 845)	vincristine	1
5287955	DB07574 (DrugBank)	DB07574	0
9941379	D06569 (KEGG)	bremelanotide	0
7504	DB02464 (DrugBank)	benzylamine	1
447966	DB03921 (DrugBank)	TbetaR-I inhibitor	0
17754204	DB03679 (DrugBank)	beta-hydroxytryptophan	0
3815	DB08036 (DrugBank)	staurosporine aglycone	0
439407	DB01822 (DrugBank) >> DB02693 (DrugBank)	oxidized dithiothreitol	1
387447	D03150 (KEGG) >> DB00188 (DrugBank)	bortezomib	0
11441375	DB07274 (DrugBank)	DB07274	0
3038522	DB05465 (DrugBank)	tandutinib	0
11840981	DB08515 (DrugBank)	DB08515	0
4030	DB00643 (DrugBank 845)	mebendazole	0
4468930	DB03570 (DrugBank)	tris(hydroxymethyl)methylamino	1
9549303	DB07545 (DrugBank)	Aurora kinase inhibitor III	0
16842	DB01902 (DrugBank)	1-ethylpyrrolidine-2,5-dione	1
356	DB02440 (DrugBank)	octyl	0
8739	D09322 (KEGG)	4-carboxybenzenesulfonamide	0
134490	DB03817 (DrugBank)	2,4-diaminobutyric acid	1
8179	DB08357 (DrugBank)	3,6,9-trioxaundecane	0
156413	DB05424 (DrugBank)	canertinib	0
155448	DB02451 (DrugBank)	n-nonyl-beta-D-glucoside	0
123619	DB01628 (DrugBank 845) >> DB07166 (DrugBank 845)	etoricoxib	1
90255	DB02042 (DrugBank)	2,5,8,11,14-pentaoxahexadecan-16-ol	0
51	DB02926 (DrugBank) >> DB03806 (DrugBank)	ketoglutarate	0
71077	DB03929 (DrugBank)	D-serine	1
4369496	DB04739 (DrugBank)	Demethyl-imatinib	0
9968957	DB06834 (DrugBank)	DB06834	0
123831	DB01686 (DrugBank)	asymmetric dimethylarginine	0
1694	DB04462 (DrugBank)	4,5,6,7-tetrabromobenzotriazole	1
16720766	D10413 (KEGG)	pevonedistat	0
11493841	DB08361 (DrugBank)	DB08361	0
449120	DB01742 (DrugBank)	(3r)-1-acetyl-3-methylpiperidine	0
11513676	D10087 (KEGG)	alisporivir	0
5319	D05946 (KEGG)	sulfabenzamide	0
104406	DB02419 (DrugBank)	ethyl 1-piperidineglyoxylate	0
5287587	DB03105 (DrugBank)	5-hydroxynorvaline	1
9700	DB01643 (DrugBank)	poly(dT	0
8182	DB02771 (DrugBank)	dodecane	0
448014	DB01950 (DrugBank)	GSK3 inhibitor VIII	0
65304	DB02189 (DrugBank)	ddATP	0
9822610	DB08519 (DrugBank)	pyrimidine, 5a	0
19910	D07245 (KEGG) >> DB01422 (DrugBank)	nitroxoline	1
11671467	D09347 (KEGG) >> D09348 (KEGG)	fostamatinib	0
11820	DB04580 (DrugBank)	1-methyl-2-quinolone	1
447622	DB02491 (DrugBank)	AC1L9L1K	0
5327014	DB04757 (DrugBank)	DB04757	0
5566	D00799 (KEGG) >> D01448 (KEGG) >> DB00831 (DrugBank 845) >> DB08616 (DrugBank 845)	trifluoperazine	1
5455	D06114 (KEGG)	thiram	0
5328120	DB08144 (DrugBank)	6-(2,6-dibromophenyl)pyrido[2,3-d]pyrimidine-2,7-diamine	0
178	DB02736 (DrugBank)	acetaminophen-induced	1
78057	DB02343 (DrugBank)	3,6,9,12,15-Pentaoxaheptadecane	0
11640390	D09925 (KEGG)	linsitinib	0
24801862	DB08023 (DrugBank)	DB08023	0
5287620	DB07348 (DrugBank)	brefeldin A	0
4592	DB02116 (DrugBank)	olomoucine	0
5478883	D03818 (KEGG)	pepstatin	0
65124	DB03867 (DrugBank)	3-nitrotyrosine	0
23991	D01901 (KEGG)	xenon	0
8058	DB02764 (DrugBank)	hexane	0
23727982	DB08182 (DrugBank)	meriolin 5	0
448008	DB01793 (DrugBank)	AC1L9LHU	0
25181321	DB07058 (DrugBank)	DB07058	0
2079916	DB07014 (DrugBank)	AC1M0N8J	0
448238	DB01772 (DrugBank)	AC1L9LR6	0
17755052	D10189 (KEGG)	pictilisib	0
2351	D00631 (KEGG) >> DB01244 (DrugBank 845)	bepridil	0
445463	DB03152 (DrugBank)	b-2-octylglucoside	0
23727981	DB08178 (DrugBank)	meriolin 3	0
971	DB02737 (DrugBank) >> DB03902 (DrugBank)	oxalic acid	1
3115	D05916 (KEGG)	stallimycin	0
23658582	DB07326 (DrugBank)	DB07326	0
25011728	DB07252 (DrugBank)	DB07252	0
5164	DB04338 (DrugBank)	SB220025 trihydrochloride	0
25322842	DB01754 (DrugBank)	3,4-dihydroxy-1-methylquinolin-2(1h)-one	0
92105	DB04151 (DrugBank)	N tau-methylhistidine	0
11553058	DB07146 (DrugBank)	DB07146	0
10302451	D09664 (KEGG) >> D09665 (KEGG)	saracatinib	0
11560856	DB06997 (DrugBank)	DB06997	0
42627755	DB07382 (DrugBank)	APY29	0
5003497	DB08709 (DrugBank)	2,3-diphenyl-1H-indole-7-carboxylic acid	0
24180721	DB07524 (DrugBank)	n-phenyl-1h-pyrrolo[2,3-b]pyridin-3-amine	0
24963047	DB07162 (DrugBank)	DB07162	0
3559	D08035 (KEGG) >> DB00502 (DrugBank 845)	haloperidol	0
5281701	DB08230 (DrugBank)	tricetin	0
24812717	DB07514 (DrugBank)	DB07514	0
15295578	DB07234 (DrugBank)	DB07234	0
10090485	D10437 (KEGG)	galunisertib	0
44563262	DB08055 (DrugBank)	DB08055	0
24826799	D09950 (KEGG) >> D09951 (KEGG) >> DB08901 (DrugBank)	ponatinib	0
10074640	D10229 (KEGG)	masitinib	0
16040281	DB08221 (DrugBank)	DB08221	0
24861080	DB07256 (DrugBank)	DB07256	0
44422489	DB08056 (DrugBank)	DB08056	0
24812719	DB07528 (DrugBank)	DB07528	0
9797919	DB07288 (DrugBank)	VEGFR tyrosine kinase inhibitor II	0
15942672	DB08043 (DrugBank)	DB08043	0
5289418	DB08577 (DrugBank)	Su5402	0
44205240	D10308 (KEGG)	baricitinib	0
21081761	DB06896 (DrugBank)	RS0065	0
9823820	D09919 (KEGG) >> D09920 (KEGG)	lenvatinib	0
24864821	DB08079 (DrugBank)	AMG-208	0
16040289	DB07183 (DrugBank)	nicotinamide 35	0
24808489	DB07156 (DrugBank)	isoquinolinedione, 1	0
11957393	DB07248 (DrugBank)	DB07248	0
24875320	DB07970 (DrugBank)	DB07970	0
16040294	DB07966 (DrugBank)	DB07966	0
49806720	D10450 (KEGG)	alectinib	0
24180722	DB07525 (DrugBank)	DB07525	0
447048	DB02059 (DrugBank)	adenosine 5-diphosphoribose	0
24779724	DB08584 (DrugBank 845)	SGX-523	0
6456015	D06402 (KEGG)	sunitinib malate	0
2683	D01062 (KEGG) >> D07666 (KEGG)	cetylpyridinium chloride	0
24901696	DB08111 (DrugBank)	Triazolopyridazine, 3a	0
25011729	DB07253 (DrugBank)	DB07253	0
25062766	D10315 (KEGG) >> D10358 (KEGG)	momelotinib	0
24836813	DB07250 (DrugBank)	DB07250	0
11387605	D10202 (KEGG)	bafetinib	0
10401956	DB08462 (DrugBank)	N-(4-anilinoquinazolin-6-yl) acrylamide	0
5459373	DB04715 (DrugBank)	K00135	0
10477723	DB07831 (DrugBank)	DB07831	0
9911830	D09683 (KEGG) >> D10190 (KEGG)	tivozanib	0
673481	DB07398 (DrugBank)	DB07398	0
5328969	DB08564 (DrugBank)	DB08564	0
17756743	DB07297 (DrugBank)	DB07297	0
25066467	D10334 (KEGG) >> D10399 (KEGG)	rebastinib	0
4327	DB03878 (DrugBank)	AC1L1HWV	0
17749728	DB07369 (DrugBank)	DB07369	0
46937119	DB08057 (DrugBank)	DB08057	0
2765355	DB08707 (DrugBank)	Pim1 inhibitor 2	0
11492186	DB07161 (DrugBank)	5-phenyl-1H-indazol-3-amine	0
46937117	DB08022 (DrugBank)	DB08022	0
4708	DB07662 (DrugBank)	pd 168393	0
25126797	D09959 (KEGG) >> D09960 (KEGG) >> DB08877 (DrugBank)	ruxolitinib	0
25102847	D10062 (KEGG)	cabozantinib	0
611002	DB03650 (DrugBank)	3-(4-Hydroxy-phenyl-imino)indolin-2-one	0
25113181	DB07969 (DrugBank)	DB07969	0
25203955	DB08703 (DrugBank)	DB08703	0
5329106	D08503 (KEGG) >> D08544 (KEGG)	toceranib	0
5330197	DB07249 (DrugBank)	DB07249	0
689043	DB01880 (DrugBank)	caffeic acid	0
25113172	DB07194 (DrugBank)	DB07194	0
25229537	DB08791 (DrugBank)	DB08791	0
17748441	DB06995 (DrugBank)	DB06995	0
10361208	DB08708 (DrugBank)	DB08708	0
151193	D06285 (KEGG) >> DB04879 (DrugBank)	vatalanib	0
11167118	DB06938 (DrugBank)	DB06938	0
4369497	DB07334 (DrugBank)	DB07334	0
25011731	DB07255 (DrugBank)	DB07255	0
4369498	DB07333 (DrugBank)	DB07333	0
16750094	DB08350 (DrugBank)	PPY-A	0
24836812	DB07251 (DrugBank)	Bis-anilinotriazine, 2	0
9884318	DB07167 (DrugBank)	Arylamide, 1	0
1235170	DB08705 (DrugBank)	TCS PIM-1 1	0
25011730	DB07254 (DrugBank)	DB07254	0
11221386	DB07202 (DrugBank)	DB07202	0
6540255	DB07444 (DrugBank)	DB07444	0
3108	DB00975 (DrugBank 845)	dipyridamole	0
24180718	DB07125 (DrugBank)	DB07125	0
5288116	DB04069 (DrugBank)	5,6-dihydro-benzo[h]cinnolin-3-ylamine	0
3037617	DB04851 (DrugBank)	biricodar	0
60662	D05024 (KEGG) >> DB01388 (DrugBank 845)	mibefradil	1
446973	DB02202 (DrugBank)	S)-1,3-butanediol	1
7405	D07605 (KEGG) >> D08263 (KEGG)	pyroglutamate	0
1102	DB03566 (DrugBank)	spermidine	0
10680	DB07776 (DrugBank)	Flavone	0
5798	DB02962 (DrugBank)	benzimidazole	1
6409	DB03226 (DrugBank)	2,2,2-trifluoroethanol	1
743	DB03553 (DrugBank)	acetate, propionate	1
8150	DB02935 (DrugBank)	diglyme	0
29144	D01574 (KEGG) >> D08164 (KEGG)	cysteine methyl ester	1
392622	DB00503 (DrugBank 845)	ritonavir	1
5894	DB08473 (DrugBank)	5,6-dichloro-1-beta-D-ribofuranosylbenzimidazole	0
447027	DB04141 (DrugBank)	1-hexyl-beta-d-galactoside	0
6857727	DB08751 (DrugBank)	AC1OAH4Y	0
2812	DB00257 (DrugBank 845)	clotrimazole	1
10132	DB03589 (DrugBank)	oxomalonate	1
449241	DB07995 (DrugBank)	H-89 dihydrochloride	0
12647	DB04193 (DrugBank)	homoserine	1
30323	D01264 (KEGG) >> DB00694 (DrugBank 845)	daunorubicin	1
9578243	D04185 (KEGG) >> DB02660 (DrugBank)	WAY-PDA-641	0
247	D03103 (KEGG) >> D07523 (KEGG) >> D07525 (KEGG) >> DB04455 (DrugBank)	betaine	1
47576	D00351 (KEGG)	Nizoral	0
4462	DB08689 (DrugBank)	ubiquinones	0
97297	DB04604 (DrugBank)	5-iodotubercidin	0
6323490	DB00615 (DrugBank 845)	rifabutin	1
760	DB04343 (DrugBank)	glyoxylate	1
8761	DB03709 (DrugBank)	Bicine	0
447962	DB07562 (DrugBank)	AC1L9LFU	0
588963	DB08235 (DrugBank)	CK-636	0
44129612	DB08236 (DrugBank)	DB08236	0
25190761	DB08285 (DrugBank)	NSC743927	0
5717	DB00549 (DrugBank 845)	zafirlukast	1
5360	D00808 (KEGG) >> DB04786 (DrugBank 845)	suramin	0
439246	DB03467 (DrugBank)	d) Naringenin	0
4485	DB01115 (DrugBank 845)	nifedipine	1
